,StateAbb,CCode,StateNme,Names,SpeechCount
99,MLD,359,Moldova,"Moldova,moldova,moldavia,moldova moldavia,republic of moldova,moldova republic of"
100,ROM,360,Romania,"Romania,romania,rumania"
101,RUS,365,Russia,"Russia,russia,ussr,russian federation,russia,Soviet Union,USSR,U.S.S.R.,soviet union,union of soviet socialist republics former,union of soviet socialist republics,russian federation,union of soviet socialist republics ussr"
102,EST,366,Estonia,"Estonia,estonia"
104,LAT,367,Latvia,"Latvia,latvia"
106,LIT,368,Lithuania,"Lithuania,lithuania"
108,UKR,369,Ukraine,"Ukraine,ukraine"
109,BLR,370,Belarus,"Belarus,belarus,byelorussia,belarus byelorussia"
110,ARM,371,Armenia,"Armenia,armenia"
111,GRG,372,Georgia,"Georgia,georgia"
112,AZE,373,Azerbaijan,"Azerbaijan,azerbaijan"
113,FIN,375,Finland,"Finland,finland"
114,SWD,380,Sweden,"Sweden,sweden"
115,NOR,385,Norway,"Norway,norway"
117,DEN,390,Denmark,"Denmark,denmark"
119,ICE,395,Iceland,"Iceland,iceland"
120,CAP,402,Cape Verde,"Cape Verde,cape verde"
121,STP,403,Sao Tome and Principe,"Sao Tome and Principe,sao tome and principe,sao tome principe,sao tomeprincipe,sao tome and prin,sao tome prin"
122,GNB,404,Guinea-Bissau,"Guinea-Bissau,guineabissau,guinea bissau,g bissau"
123,EQG,411,Equatorial Guinea,"Equatorial Guinea,equatorial guinea,guinea equatorial"
124,GAM,420,Gambia,"Gambia,gambia"
125,MLI,432,Mali,"Mali,mali"
126,SEN,433,Senegal,"Senegal,senegal"
127,BEN,434,Benin,"Benin,benin,dahomey,benin/dahomey,benin dahomey"
128,MAA,435,Mauritania,"Mauritania,mauritania,mauritn"
129,NIR,436,Niger,"Niger,niger"
130,CDI,437,Ivory Coast,Ivory Coast
131,GUI,438,Guinea,"Guinea,guinea"
132,BFO,439,Burkina Faso,"Burkina Faso,burkina faso,upper volta,burkina faso upper volta,Upp,hvo,burkina"
133,LBR,450,Liberia,"Liberia,liberia"
134,SIE,451,Sierra Leone,"Sierra Leone,sierra leone"
135,GHA,452,Ghana,"Ghana,ghana"
136,TOG,461,Togo,"Togo,togo"
137,CAO,471,Cameroon,"Cameroon,cameroon,cameroun"
138,NIG,475,Nigeria,"Nigeria,nigeria"
139,GAB,481,Gabon,"Gabon,gabon"
140,CEN,482,Central African Republic,"Central African Republic,central african republic,c african rep,central african empire,cen african rep"
141,CHA,483,Chad,"Chad,chad"
142,CON,484,Congo,"Congo,congo,rep of congo,congo rep of,congo brazaville,congo brazzaville,congo rep,congo brazzaville,congo brazaville,congo brazaville,congo brazzaville,congo republic of"
143,DRC,490,Democratic Republic of the Congo,"Democratic Republic of the Congo,democratic republic of congo,dem rep congo,congo dem r,zaire congo kinshasa,congo dr zaire,congo dem rep,zaire/dem rep of congo,congo droc,congo kinshasa,zaire,zaire democratic republic of congo,congo democratic republic of,congo democratic rep of"
144,UGA,500,Uganda,"Uganda,uganda"
145,KEN,501,Kenya,"Kenya,kenya"
146,TAZ,510,Tanzania,"Tanzania,tanzania,tanganyika,tanzania/tanganyika,united republic of tanzania,tanzania united republic of"
147,ZAN,511,Zanzibar,"Zanzibar,zanzibar"
148,BUI,516,Burundi,"Burundi,burundi"
149,RWA,517,Rwanda,"Rwanda,rwanda"
150,SOM,520,Somalia,"Somalia,somalia"
151,DJI,522,Djibouti,"Djibouti,djibouti"
152,ETH,530,Ethiopia,"Ethiopia,ethiopia,ethiopia 8993"
154,ERI,531,Eritrea,"Eritrea,eritrea"
155,ANG,540,Angola,"Angola,angola"
156,MZM,541,Mozambique,"Mozambique,mozambique,mozambq"
157,ZAM,551,Zambia,"Zambia,zambia"
158,ZIM,552,Zimbabwe,"Zimbabwe,zimbabwe,rhodesia,zimbabwe rhodesia"
159,MAW,553,Malawi,"Malawi,malawi"
160,SAF,560,South Africa,"South Africa,south africa,s africa"
161,NAM,565,Namibia,"Namibia,namibia"
162,LES,570,Lesotho,"Lesotho,lesotho"
163,BOT,571,Botswana,"Botswana,botswana"
164,SWA,572,Swaziland,"Swaziland,swaziland"
165,MAG,580,Madagascar,"Madagascar,madagascar,malagasy,malagasy republic,madagas"
166,COM,581,Comoros,"Comoros,comoros"
167,MAS,590,Mauritius,"Mauritius,mauritius,mritius"
168,SEY,591,Seychelles,"Seychelles,seychelles,seychel"
169,MOR,600,Morocco,"Morocco,morocco"
171,ALG,615,Algeria,"Algeria,algeria"
172,TUN,616,Tunisia,"Tunisia,tunisia"
174,LIB,620,Libya,"Libya,libya,libyan arab jamahiriya"
175,SUD,625,Sudan,"Sudan,sudan"
176,SSD,626,South Sudan,South Sudan
177,IRN,630,Iran,"Iran,iran,persia,iran persia,iran islamic republic of,iran islamic republic of,iran islamic rep"
178,TUR,640,Turkey,"Turkey,turkey,ottoman empire,turkey/ottoman empire"
179,IRQ,645,Iraq,"Iraq,iraq"
180,EGY,651,Egypt,"Egypt,egypt,united arab republic,United Arab Republic"
182,SYR,652,Syria,"Syria,syria,syrian arab republic"
184,LEB,660,Lebanon,"Lebanon,lebanon"
185,JOR,663,Jordan,"Jordan,jordan,jordon"
186,ISR,666,Israel,"Israel,israel"
187,SAU,670,Saudi Arabia,"Saudi Arabia,saudi arabia,saudi,arabia saudi"
188,YAR,678,Yemen Arab Republic,"Yemen Arab Republic,yemen, yemen arab republic,yemen arab republic former,yemen sanaa,north yemen,arab republic of yemen,yemen north,yemen n"
189,YEM,679,Yemen,"Yemen,yemen,yemen rep"
190,YPR,680,Yemen People's Republic,"Yemen People's Republic,yemen people's republic,democratic yemen former,yemen aden,south yemen,sourn yemen,yemen people's republic of,yemen p r,yemen pr,democratic yemen,yemen south,yemen south,yemen s"
191,KUW,690,Kuwait,"Kuwait,kuwait"
192,BAH,692,Bahrain,"Bahrain,bahrain"
193,QAT,694,Qatar,"Qatar,qatar"
194,UAE,696,United Arab Emirates,"United Arab Emirates,united arab emirates,unit arab em,united arab emerates,united ae,united a e,arab emirates,uae"
195,OMA,698,Oman,"Oman,oman"
196,AFG,700,Afghanistan,"Afghanistan,afghanistan,afghan,afganistan"
197,TKM,701,Turkmenistan,"Turkmenistan,turkmenistan,turkmenia,turkmenist"
198,TAJ,702,Tajikistan,"Tajikistan,tajikistan,tadzhikistan"
199,KYR,703,Kyrgyzstan,Kyrgyzstan
200,UZB,704,Uzbekistan,"Uzbekistan,uzbekistan"
201,KZK,705,Kazakhstan,"Kazakhstan,kazakhstan,kazakstan"
202,CHN,710,China,"China,china,People's Republic of China, people's republic of china"
203,MON,712,Mongolia,"Mongolia,mongolia,mongola"
204,TAW,713,Taiwan,"Taiwan,taiwan,taipei,china taiwan,taiwan province of china,formosa,chinataiwanformosa,chinese taipei"
205,KOR,730,Korea,Korea
206,PRK,731,North Korea,"North Korea,north korea,korea dem people's rep,democratic people's republic of korea,korea democratic people's republic of,n korea,korea north,korea demo people's rep of"
207,ROK,732,South Korea,"South Korea,south korea,s korea,korea,korea rep,korea south,republic of korea,korea south republic of,republic of korea seoul"
208,JPN,740,Japan,"Japan,japan"
210,IND,750,India,"India,india"
211,BHU,760,Bhutan,"Bhutan,bhutan"
212,PAK,770,Pakistan,"Pakistan,pakistan"
213,BNG,771,Bangladesh,"Bangladesh,bangladesh,bngldsh"
214,MYA,775,Myanmar,"Myanmar,myanmar,burma,bur,myanmar burma,burma myanmar,burma/myanmar,myanmar/burma,myanmar exburma"
215,SRI,780,Sri Lanka,"Sri Lanka,sri lanka,ceylon,sri lanka ceylon,sri lanka exceilan"
216,MAD,781,Maldives,"Maldives,maldives,maldive islands"
217,NEP,790,Nepal,"Nepal,nepal"
218,THI,800,Thailand,"Thailand,thailand"
219,CAM,811,Cambodia,"Cambodia,cambodia,kampuchea,cambodia kampuchea,cambod,democratic kampuchea"
220,LAO,812,Laos,"Laos,laos,lao people's democratic republic,lao,lao pdr"
221,DRV,816,Vietnam,"Vietnam,vietnam,vnmn,vietnam democratic rep,viet nam,vietnam,north vietnam,democratic republic of vietnam"
222,RVN,817,Republic of Vietnam,"Republic of Vietnam,republic of vietnam,south vietnam,vietnam republic of,south vietnam,republic of south vietnam"
223,MAL,820,Malaysia,"Malaysia,malaysia"
224,SIN,830,Singapore,"Singapore,singapore,singapr"
225,BRU,835,Brunei,"Brunei,brunei,brunei darussalam"
226,PHI,840,Philippines,"Philippines,philippines,phil"
227,INS,850,Indonesia,"Indonesia,indonesia,indones"
228,ETM,860,East Timor,East Timor
229,AUL,900,Australia,"Australia,australia,austral"
230,PNG,910,Papua New Guinea,"Papua New Guinea,papua new guinea,papua ng,pap new guinea,p new guinea,new guinea,papua and new guinea,papua n g,papua new guin"
231,NEW,920,New Zealand,"New Zealand,new zealand"
232,VAN,935,Vanuatu,"Vanuatu,vanuatu,new hebrides"
233,SOL,940,Solomon Islands,"Solomon Islands,solomon islands,solomon is"
234,KIR,946,Kiribati,"Kiribati,kiribati,gilbert islands"
235,TUV,947,Tuvalu,"Tuvalu,tuvalu"
236,FIJ,950,Fiji,"Fiji,fiji"
237,TON,955,Tonga,"Tonga,tonga"
238,NAU,970,Nauru,"Nauru,nauru"
239,MSI,983,Marshall Islands,"Marshall Islands,marshall islands,marshall is"
240,PAL,986,Palau,"Palau,palau"
241,FSM,987,Federated States of Micronesia,"Federated States of Micronesia"
242,WSM,990,Samoa,"Samoa,western samoa,samoa"
243,MID,1000,Middle East,"middle east, Near East, North Africa, Subsarahan Africa, near east, north africa, subsarahan africa"
244,NMA,1001,North America,"north america"
245,SMA,1002,South America,"south america, latin america, Latin America"
246,ASA,1003,Asia,"oriental, asia"
247,EUO,1004,Europe,"europe"
248,TER,1005,Terror,"terror"
