,StateAbb,CCode,StateNme,Names,SpeechCount
73,SYR,652,Syria,"Syria,syria,syrian arab republic",88
74,MNG,341,Montenegro,"Montenegro,montenegro",87
75,ALB,339,Albania,"Albania,albania",85
76,MLT,338,Malta,"Malta,malta",84
77,TUS,337,Tuscany,"Tuscany,tuscany",83
78,PMA,335,Parma,"Parma,parma",82
79,IND,750,India,"India,india",82
80,MOD,332,Modena,"Modena,modena",81
81,SNM,331,San Marino,"San Marino,san marino",80
82,MEX,70,Mexico,"Mexico,mexico",79
83,SIC,329,Two Sicilies,"Two Sicilies,two sicilies",79
84,PAP,327,Papal States,Papal States,78
85,SLO,317,Slovakia,Slovakia,76
86,ISR,666,Israel,"Israel,israel,israel 1989",74
87,CZE,315,Czechoslovakia,"Czechoslovakia,czechoslovakia,czechoslovakia former,czecho",73
88,HUN,310,Hungary,"Hungary,hungary",72
89,AUS,305,Austria,"Austria,austria",70
90,AUH,300,Austria-Hungary,"Austria-Hungary,austriahungary",69
91,MEC,280,Mecklenburg Schwerin,"Mecklenburg Schwerin,meckelnburg schwerin",66
92,HSG,275,Hesse Grand Ducal,"Hesse Grand Ducal,hesse grand ducal",65
93,HSE,273,Hesse Electoral,"Hesse Electoral,hesse electoral",64
94,WRT,271,Wuerttemburg,"Wuerttemburg,wuerttemburg",63
95,SAX,269,Saxony,"Saxony,saxony",62
96,JPN,740,Japan,"Japan,japan",62
97,BAD,267,Baden,"Baden,baden",61
98,GDR,265,German Democratic Republic,"German Democratic Republic,german democratic republic,east germany,german democratic rep,german democratic republic former,germany dr,german_e",60
99,GFR,260,German Federal Republic,German Federal Republic,59
100,BAV,245,Bavaria,"Bavaria,bavaria",56
101,HAN,240,Hanover,"Hanover,hanover",55
102,POR,235,Portugal,"Portugal,portugal",54
103,AND,232,Andorra,"Andorra,andorra",53
104,PRK,731,North Korea,"North Korea,north korea,korea dem people's rep,democratic people's republic of korea,korea democratic people's republic of,n korea,korea_n,korea north,korea demo people's rep of",52
105,SWZ,225,Switzerland,"Switzerland,switzerland,switzld",51
106,PAK,770,Pakistan,"Pakistan,pakistan",51
107,LIE,223,Liechtenstein,"Liechtenstein,liechtenstein",50
108,GMY,255,Germany,"Germany,germany,prussia,germany/prussia,german federal republic,west germany,germany federal republic of,federal republic of germany,german",50
109,ROK,732,South Korea,"South Korea,south korea,s korea,korea,korea republic of,korea_s,korea rep of,korea rep,korea south,republic of korea,korea south republic of,republic of korea seoul",50
110,UKG,200,United Kingdom,"United Kingdom,united kingdom,uk,great britain,britain,ukingdom",49
111,MNC,221,Monaco,"Monaco,monaco",49
112,DRV,816,Vietnam,"Vietnam,vietnam,vnmn,vietnam democratic rep,viet nam,vietnam,north vietnam,democratic republic of vietnam",47
113,CAN,20,Canada,"Canada,canada",46
114,PHI,840,Philippines,"Philippines,philippines,phil",45
115,NTH,210,Netherlands,"Netherlands,nerlands,holland,nethlds",41
116,LIB,620,Libya,"Libya,libya,libyan arab jamahiriya",41
117,CUB,40,Cuba,"Cuba,cuba",40
118,URU,165,Uruguay,"Uruguay,uruguay",38
119,PAR,150,Paraguay,"Paraguay,paraguay,paragua",34
120,BOL,145,Bolivia,"Bolivia,bolivia",33
121,FRN,220,France,"France,france",33
122,YEM,679,Yemen,"Yemen,yemen,yemen rep",33
123,MID,1000,Middle East,"middle east, Near East, North Africa, Subsarahan Africa, near east, north africa, subsarahan africa",31
124,ECU,130,Ecuador,"Ecuador,ecuador",30
125,GRG,372,Georgia,"Georgia,georgia",30
126,SUR,115,Suriname,"Suriname,suriname,surinam",29
127,GUY,110,Guyana,"Guyana,guyana",28
128,SOM,520,Somalia,"Somalia,somalia",28
129,UKR,369,Ukraine,"Ukraine,ukraine",25
130,SAU,670,Saudi Arabia,"Saudi Arabia,saudi arabia,sd_arab,arabia saudi",25
131,VEN,101,Venezuela,"Venezuela,venezuela,venez,venezuela rb",24
132,JOR,663,Jordan,"Jordan,jordan,jordon",21
133,TUR,640,Turkey,"Turkey,turkey,ottoman empire,turkey/ottoman empire",20
134,BLZ,80,Belize,"Belize,belize",19
135,COL,100,Colombia,"Colombia,colombia",19
136,BRA,140,Brazil,"Brazil,brazil",19
137,SUD,625,Sudan,"Sudan,sudan",18
138,SMA,1002,South America,"south america, latin america, Latin America",18
139,SKN,60,St. Kitts and Nevis,St. Kitts and Nevis,17
140,AAB,58,Antigua & Barbuda,Antigua & Barbuda,16
141,PAN,95,Panama,"Panama,panama",16
142,TUN,616,Tunisia,"Tunisia,tunisia",16
143,SVG,57,St. Vincent and the Grenadines,St. Vincent and the Grenadines,15
144,SAF,560,South Africa,"South Africa,south africa,s_africa,s africa",15
145,INS,850,Indonesia,"Indonesia,indonesia,indones",15
146,HAI,41,Haiti,"Haiti,haiti",14
147,SLU,56,St. Lucia,St. Lucia,14
